filepaths,labels,data set
Database\train\parallelogram\parallelogram-657.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-658.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-659.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-66.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-660.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-661.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-662.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-663.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-664.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-665.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-666.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-667.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-668.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-669.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-67.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-670.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-671.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-672.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-673.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-674.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-675.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-676.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-677.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-678.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-679.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-68.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-680.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-681.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-682.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-683.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-684.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-685.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-686.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-687.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-688.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-689.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-69.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-690.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-691.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-692.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-693.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-694.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-695.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-696.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-697.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-698.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-699.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-7.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-70.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-700.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-701.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-702.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-703.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-704.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-705.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-706.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-707.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-708.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-709.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-71.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-710.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-711.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-712.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-713.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-714.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-715.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-716.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-717.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-718.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-719.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-72.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-720.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-721.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-722.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-723.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-724.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-725.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-726.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-727.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-728.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-729.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-73.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-730.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-731.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-732.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-733.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-734.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-735.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-736.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-737.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-738.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-739.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-74.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-740.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-741.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-742.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-743.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-744.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-745.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-746.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-747.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-748.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-749.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-75.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-750.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-751.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-752.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-753.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-754.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-755.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-756.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-757.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-758.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-759.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-76.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-760.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-761.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-762.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-763.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-764.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-765.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-766.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-767.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-768.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-769.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-77.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-770.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-771.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-772.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-773.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-774.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-775.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-776.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-777.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-778.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-779.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-78.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-780.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-781.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-782.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-783.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-784.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-785.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-786.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-787.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-788.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-789.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-79.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-790.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-791.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-792.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-793.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-794.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-795.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-796.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-797.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-798.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-799.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-8.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-80.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-800.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-801.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-802.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-803.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-804.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-805.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-806.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-807.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-808.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-809.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-81.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-810.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-811.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-812.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-813.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-814.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-815.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-816.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-817.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-818.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-819.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-82.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-820.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-821.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-822.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-823.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-824.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-825.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-826.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-827.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-828.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-829.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-83.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-830.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-831.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-832.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-833.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-834.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-835.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-836.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-837.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-838.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-839.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-84.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-840.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-841.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-842.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-843.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-844.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-845.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-846.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-847.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-848.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-849.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-85.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-850.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-851.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-852.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-853.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-854.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-855.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-856.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-857.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-858.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-859.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-86.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-860.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-861.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-862.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-863.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-864.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-865.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-866.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-867.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-868.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-869.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-87.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-870.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-871.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-872.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-873.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-874.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-875.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-876.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-877.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-878.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-879.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-88.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-880.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-881.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-882.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-883.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-884.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-885.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-886.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-887.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-888.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-889.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-89.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-890.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-891.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-892.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-893.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-894.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-895.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-896.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-897.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-898.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-899.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-9.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-90.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-900.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-901.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-902.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-903.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-904.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-905.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-906.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-907.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-908.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-909.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-91.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-910.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-911.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-912.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-913.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-914.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-915.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-916.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-917.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-918.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-919.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-92.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-920.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-921.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-922.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-923.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-924.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-925.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-926.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-927.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-928.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-929.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-93.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-930.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-931.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-932.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-933.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-934.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-935.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-936.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-937.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-938.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-939.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-94.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-940.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-941.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-942.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-943.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-944.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-945.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-946.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-947.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-948.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-949.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-95.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-950.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-951.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-952.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-953.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-954.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-955.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-956.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-957.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-958.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-959.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-96.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-960.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-961.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-962.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-963.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-964.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-965.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-966.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-967.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-968.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-969.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-97.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-970.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-971.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-972.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-973.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-974.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-975.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-976.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-977.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-978.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-979.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-98.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-980.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-981.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-982.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-983.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-984.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-985.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-986.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-987.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-988.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-989.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-99.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-990.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-991.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-992.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-993.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-994.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-995.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-996.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-997.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-998.jpg,parallelogram,train
Database\train\parallelogram\parallelogram-999.jpg,parallelogram,train
Database\train\rectangle\rectangle-0.jpg,rectangle,train
Database\train\rectangle\rectangle-1.jpg,rectangle,train
Database\train\rectangle\rectangle-10.jpg,rectangle,train
Database\train\rectangle\rectangle-100.jpg,rectangle,train
Database\train\rectangle\rectangle-1000.jpg,rectangle,train
Database\train\rectangle\rectangle-1001.jpg,rectangle,train
Database\train\rectangle\rectangle-1002.jpg,rectangle,train
Database\train\rectangle\rectangle-1003.jpg,rectangle,train
Database\train\rectangle\rectangle-1004.jpg,rectangle,train
Database\train\rectangle\rectangle-1005.jpg,rectangle,train
Database\train\rectangle\rectangle-1006.jpg,rectangle,train
Database\train\rectangle\rectangle-1007.jpg,rectangle,train
Database\train\rectangle\rectangle-1008.jpg,rectangle,train
Database\train\rectangle\rectangle-1009.jpg,rectangle,train
Database\train\rectangle\rectangle-101.jpg,rectangle,train
Database\train\rectangle\rectangle-1010.jpg,rectangle,train
Database\train\rectangle\rectangle-1011.jpg,rectangle,train
Database\train\rectangle\rectangle-1012.jpg,rectangle,train
Database\train\rectangle\rectangle-1013.jpg,rectangle,train
Database\train\rectangle\rectangle-1014.jpg,rectangle,train
Database\train\rectangle\rectangle-1015.jpg,rectangle,train
Database\train\rectangle\rectangle-1016.jpg,rectangle,train
Database\train\rectangle\rectangle-1017.jpg,rectangle,train
Database\train\rectangle\rectangle-1018.jpg,rectangle,train
Database\train\rectangle\rectangle-1019.jpg,rectangle,train
Database\train\rectangle\rectangle-102.jpg,rectangle,train
Database\train\rectangle\rectangle-1020.jpg,rectangle,train
Database\train\rectangle\rectangle-1021.jpg,rectangle,train
Database\train\rectangle\rectangle-1022.jpg,rectangle,train
Database\train\rectangle\rectangle-1023.jpg,rectangle,train
Database\train\rectangle\rectangle-1024.jpg,rectangle,train
Database\train\rectangle\rectangle-1025.jpg,rectangle,train
Database\train\rectangle\rectangle-1026.jpg,rectangle,train
Database\train\rectangle\rectangle-1027.jpg,rectangle,train
Database\train\rectangle\rectangle-1028.jpg,rectangle,train
Database\train\rectangle\rectangle-1029.jpg,rectangle,train
Database\train\rectangle\rectangle-103.jpg,rectangle,train
Database\train\rectangle\rectangle-1030.jpg,rectangle,train
Database\train\rectangle\rectangle-1031.jpg,rectangle,train
Database\train\rectangle\rectangle-1032.jpg,rectangle,train
Database\train\rectangle\rectangle-1033.jpg,rectangle,train
Database\train\rectangle\rectangle-1034.jpg,rectangle,train
Database\train\rectangle\rectangle-1035.jpg,rectangle,train
Database\train\rectangle\rectangle-1036.jpg,rectangle,train
Database\train\rectangle\rectangle-1037.jpg,rectangle,train
Database\train\rectangle\rectangle-1038.jpg,rectangle,train
Database\train\rectangle\rectangle-1039.jpg,rectangle,train
Database\train\rectangle\rectangle-104.jpg,rectangle,train
Database\train\rectangle\rectangle-1040.jpg,rectangle,train
Database\train\rectangle\rectangle-1041.jpg,rectangle,train
Database\train\rectangle\rectangle-1042.jpg,rectangle,train
Database\train\rectangle\rectangle-1043.jpg,rectangle,train
Database\train\rectangle\rectangle-1044.jpg,rectangle,train
Database\train\rectangle\rectangle-1045.jpg,rectangle,train
Database\train\rectangle\rectangle-1046.jpg,rectangle,train
Database\train\rectangle\rectangle-1047.jpg,rectangle,train
Database\train\rectangle\rectangle-1048.jpg,rectangle,train
Database\train\rectangle\rectangle-1049.jpg,rectangle,train
Database\train\rectangle\rectangle-105.jpg,rectangle,train
Database\train\rectangle\rectangle-1050.jpg,rectangle,train
Database\train\rectangle\rectangle-1051.jpg,rectangle,train
Database\train\rectangle\rectangle-1052.jpg,rectangle,train
Database\train\rectangle\rectangle-1053.jpg,rectangle,train
Database\train\rectangle\rectangle-1054.jpg,rectangle,train
Database\train\rectangle\rectangle-1055.jpg,rectangle,train
Database\train\rectangle\rectangle-1056.jpg,rectangle,train
Database\train\rectangle\rectangle-1057.jpg,rectangle,train
Database\train\rectangle\rectangle-1058.jpg,rectangle,train
Database\train\rectangle\rectangle-1059.jpg,rectangle,train
Database\train\rectangle\rectangle-106.jpg,rectangle,train
Database\train\rectangle\rectangle-1060.jpg,rectangle,train
Database\train\rectangle\rectangle-1061.jpg,rectangle,train
Database\train\rectangle\rectangle-1062.jpg,rectangle,train
Database\train\rectangle\rectangle-1063.jpg,rectangle,train
Database\train\rectangle\rectangle-1064.jpg,rectangle,train
Database\train\rectangle\rectangle-1065.jpg,rectangle,train
